C_L1,B_L1,S_L1,C_L2,S_L2,Prefetcher,Stride,Tag Storage L1 (bits),Tag Storage L2 (bits),ATT L1
15,5,0,17,1,True,True,52224,200704,3.51899
15,5,0,17,1,True,False,52224,200704,3.34459
15,5,0,17,1,False,True,52224,200704,3.57059
15,5,0,17,1,False,False,52224,200704,3.57059
15,5,1,17,2,True,True,53248,204800,3.13518
15,5,1,17,2,True,False,53248,204800,3.00578
15,5,1,17,2,False,True,53248,204800,3.22678
15,5,1,17,2,False,False,53248,204800,3.22678
15,5,2,17,3,True,True,54272,208896,2.93854
15,5,2,17,3,True,False,54272,208896,2.81614
15,5,2,17,3,False,True,54272,208896,3.03674
15,5,2,17,3,False,False,54272,208896,3.03674
15,5,3,17,4,True,True,55296,212992,2.76708
15,5,3,17,4,True,False,55296,212992,2.64248
15,5,3,17,4,False,True,55296,212992,2.86528
15,5,3,17,4,False,False,55296,212992,2.86528
15,5,4,17,5,True,True,56320,217088,2.76491
15,5,4,17,5,True,False,56320,217088,2.63551
15,5,4,17,5,False,True,56320,217088,2.86051
15,5,4,17,5,False,False,56320,217088,2.86051
15,5,5,17,6,True,True,57344,221184,2.7593
15,5,5,17,6,True,False,57344,221184,2.6297
15,5,5,17,6,False,True,57344,221184,2.8573
15,5,5,17,6,False,False,57344,221184,2.8573
15,5,6,17,7,True,True,58368,225280,2.75728
15,5,6,17,7,True,False,58368,225280,2.62668
15,5,6,17,7,False,True,58368,225280,2.85688
15,5,6,17,7,False,False,58368,225280,2.85688
15,5,7,17,8,True,True,59392,229376,2.75707
15,5,7,17,8,True,False,59392,229376,2.62627
15,5,7,17,8,False,True,59392,229376,2.85627
15,5,7,17,8,False,False,59392,229376,2.85627
15,5,8,17,9,True,True,60416,233472,2.75668
15,5,8,17,9,True,False,60416,233472,2.62648
15,5,8,17,9,False,True,60416,233472,2.85668
15,5,8,17,9,False,False,60416,233472,2.85668
15,5,9,17,10,True,True,61440,237568,2.76244
15,5,9,17,10,True,False,61440,237568,2.62664
15,5,9,17,10,False,True,61440,237568,2.85684
15,5,9,17,10,False,False,61440,237568,2.85684
15,5,10,17,11,True,True,62464,241664,2.75909
15,5,10,17,11,True,False,62464,241664,2.62669
15,5,10,17,11,False,True,62464,241664,2.85689
15,5,10,17,11,False,False,62464,241664,2.85689
15,6,0,17,1,True,True,26112,100352,3.14305
15,6,0,17,1,True,False,26112,100352,2.98205
15,6,0,17,1,False,True,26112,100352,3.09945
15,6,0,17,1,False,False,26112,100352,3.09945
15,6,1,17,2,True,True,26624,102400,2.77622
15,6,1,17,2,True,False,26624,102400,2.65882
15,6,1,17,2,False,True,26624,102400,2.77142
15,6,1,17,2,False,False,26624,102400,2.77142
15,6,2,17,3,True,True,27136,104448,2.57506
15,6,2,17,3,True,False,27136,104448,2.46506
15,6,2,17,3,False,True,27136,104448,2.58106
15,6,2,17,3,False,False,27136,104448,2.58106
15,6,3,17,4,True,True,27648,106496,2.39948
15,6,3,17,4,True,False,27648,106496,2.29408
15,6,3,17,4,False,True,27648,106496,2.40808
15,6,3,17,4,False,False,27648,106496,2.40808
15,6,4,17,5,True,True,28160,108544,2.39691
15,6,4,17,5,True,False,28160,108544,2.28671
15,6,4,17,5,False,True,28160,108544,2.39871
15,6,4,17,5,False,False,28160,108544,2.39871
15,6,5,17,6,True,True,28672,110592,2.39712
15,6,5,17,6,True,False,28672,110592,2.28252
15,6,5,17,6,False,True,28672,110592,2.39372
15,6,5,17,6,False,False,28672,110592,2.39372
15,6,6,17,7,True,True,29184,112640,2.39312
15,6,6,17,7,True,False,29184,112640,2.28212
15,6,6,17,7,False,True,29184,112640,2.39052
15,6,6,17,7,False,False,29184,112640,2.39052
15,6,7,17,8,True,True,29696,114688,2.39442
15,6,7,17,8,True,False,29696,114688,2.28082
15,6,7,17,8,False,True,29696,114688,2.38982
15,6,7,17,8,False,False,29696,114688,2.38982
15,6,8,17,9,True,True,30208,116736,2.3958
15,6,8,17,9,True,False,30208,116736,2.2776
15,6,8,17,9,False,True,30208,116736,2.3894
15,6,8,17,9,False,False,30208,116736,2.3894
15,6,9,17,10,True,True,30720,118784,2.39786
15,6,9,17,10,True,False,30720,118784,2.28706
15,6,9,17,10,False,True,30720,118784,2.38906
15,6,9,17,10,False,False,30720,118784,2.38906
