C_L1,B_L1,S_L1,C_L2,S_L2,Prefetcher,Stride,Tag Storage L1 (bits),Tag Storage L2 (bits),ATT L1
15,5,0,17,1,True,True,52224,200704,2.68051
15,5,0,17,1,True,False,52224,200704,2.67131
15,5,0,17,1,False,True,52224,200704,2.71791
15,5,0,17,1,False,False,52224,200704,2.71791
15,5,1,17,2,True,True,53248,204800,2.52212
15,5,1,17,2,True,False,53248,204800,2.51312
15,5,1,17,2,False,True,53248,204800,2.55972
15,5,1,17,2,False,False,53248,204800,2.55972
15,5,2,17,3,True,True,54272,208896,2.36935
15,5,2,17,3,True,False,54272,208896,2.36035
15,5,2,17,3,False,True,54272,208896,2.40695
15,5,2,17,3,False,False,54272,208896,2.40695
15,5,3,17,4,True,True,55296,212992,2.21836
15,5,3,17,4,True,False,55296,212992,2.20936
15,5,3,17,4,False,True,55296,212992,2.25596
15,5,3,17,4,False,False,55296,212992,2.25596
15,5,4,17,5,True,True,56320,217088,2.21797
15,5,4,17,5,True,False,56320,217088,2.20897
15,5,4,17,5,False,True,56320,217088,2.25557
15,5,4,17,5,False,False,56320,217088,2.25557
15,5,5,17,6,True,True,57344,221184,2.21772
15,5,5,17,6,True,False,57344,221184,2.20872
15,5,5,17,6,False,True,57344,221184,2.25532
15,5,5,17,6,False,False,57344,221184,2.25532
15,5,6,17,7,True,True,58368,225280,2.21769
15,5,6,17,7,True,False,58368,225280,2.20869
15,5,6,17,7,False,True,58368,225280,2.25529
15,5,6,17,7,False,False,58368,225280,2.25529
15,5,7,17,8,True,True,59392,229376,2.21769
15,5,7,17,8,True,False,59392,229376,2.20869
15,5,7,17,8,False,True,59392,229376,2.25529
15,5,7,17,8,False,False,59392,229376,2.25529
15,5,8,17,9,True,True,60416,233472,2.21769
15,5,8,17,9,True,False,60416,233472,2.20869
15,5,8,17,9,False,True,60416,233472,2.25529
15,5,8,17,9,False,False,60416,233472,2.25529
15,5,9,17,10,True,True,61440,237568,2.21769
15,5,9,17,10,True,False,61440,237568,2.20869
15,5,9,17,10,False,True,61440,237568,2.25529
15,5,9,17,10,False,False,61440,237568,2.25529
15,5,10,17,11,True,True,62464,241664,2.21769
15,5,10,17,11,True,False,62464,241664,2.20869
15,5,10,17,11,False,True,62464,241664,2.25529
15,5,10,17,11,False,False,62464,241664,2.25529
15,6,0,17,1,True,True,26112,100352,2.46508
15,6,0,17,1,True,False,26112,100352,2.45388
15,6,0,17,1,False,True,26112,100352,2.48748
15,6,0,17,1,False,False,26112,100352,2.48748
15,6,1,17,2,True,True,26624,102400,2.30189
15,6,1,17,2,True,False,26624,102400,2.29069
15,6,1,17,2,False,True,26624,102400,2.32429
15,6,1,17,2,False,False,26624,102400,2.32429
15,6,2,17,3,True,True,27136,104448,2.14984
15,6,2,17,3,True,False,27136,104448,2.13864
15,6,2,17,3,False,True,27136,104448,2.17224
15,6,2,17,3,False,False,27136,104448,2.17224
15,6,3,17,4,True,True,27648,106496,1.9983
15,6,3,17,4,True,False,27648,106496,1.9871
15,6,3,17,4,False,True,27648,106496,2.0207
15,6,3,17,4,False,False,27648,106496,2.0207
15,6,4,17,5,True,True,28160,108544,1.99774
15,6,4,17,5,True,False,28160,108544,1.98654
15,6,4,17,5,False,True,28160,108544,2.02014
15,6,4,17,5,False,False,28160,108544,2.02014
15,6,5,17,6,True,True,28672,110592,1.99762
15,6,5,17,6,True,False,28672,110592,1.98642
15,6,5,17,6,False,True,28672,110592,2.02002
15,6,5,17,6,False,False,28672,110592,2.02002
15,6,6,17,7,True,True,29184,112640,1.99752
15,6,6,17,7,True,False,29184,112640,1.98632
15,6,6,17,7,False,True,29184,112640,2.01992
15,6,6,17,7,False,False,29184,112640,2.01992
15,6,7,17,8,True,True,29696,114688,1.99763
15,6,7,17,8,True,False,29696,114688,1.98643
15,6,7,17,8,False,True,29696,114688,2.02003
15,6,7,17,8,False,False,29696,114688,2.02003
15,6,8,17,9,True,True,30208,116736,1.99767
15,6,8,17,9,True,False,30208,116736,1.98647
15,6,8,17,9,False,True,30208,116736,2.02007
15,6,8,17,9,False,False,30208,116736,2.02007
15,6,9,17,10,True,True,30720,118784,1.99767
15,6,9,17,10,True,False,30720,118784,1.98647
15,6,9,17,10,False,True,30720,118784,2.02007
15,6,9,17,10,False,False,30720,118784,2.02007
