C_L1,B_L1,S_L1,C_L2,S_L2,Prefetcher,Stride,Tag Storage L1 (bits),Tag Storage L2 (bits),ATT L1
15,5,0,17,1,True,True,52224,200704,14.3536
15,5,0,17,1,True,False,52224,200704,12.4092
15,5,0,17,1,False,True,52224,200704,20.7492
15,5,0,17,1,False,False,52224,200704,20.7492
15,5,1,17,2,True,True,53248,204800,13.5352
15,5,1,17,2,True,False,53248,204800,11.8944
15,5,1,17,2,False,True,53248,204800,20.2184
15,5,1,17,2,False,False,53248,204800,20.2184
15,5,2,17,3,True,True,54272,208896,13.3351
15,5,2,17,3,True,False,54272,208896,11.6943
15,5,2,17,3,False,True,54272,208896,20.0183
15,5,2,17,3,False,False,54272,208896,20.0183
15,5,3,17,4,True,True,55296,212992,13.1851
15,5,3,17,4,True,False,55296,212992,11.5443
15,5,3,17,4,False,True,55296,212992,19.8683
15,5,3,17,4,False,False,55296,212992,19.8683
15,5,4,17,5,True,True,56320,217088,13.1851
15,5,4,17,5,True,False,56320,217088,11.5443
15,5,4,17,5,False,True,56320,217088,19.8683
15,5,4,17,5,False,False,56320,217088,19.8683
15,5,5,17,6,True,True,57344,221184,13.1851
15,5,5,17,6,True,False,57344,221184,11.5443
15,5,5,17,6,False,True,57344,221184,19.8683
15,5,5,17,6,False,False,57344,221184,19.8683
15,5,6,17,7,True,True,58368,225280,13.1851
15,5,6,17,7,True,False,58368,225280,11.5443
15,5,6,17,7,False,True,58368,225280,19.8683
15,5,6,17,7,False,False,58368,225280,19.8683
15,5,7,17,8,True,True,59392,229376,13.1851
15,5,7,17,8,True,False,59392,229376,11.5443
15,5,7,17,8,False,True,59392,229376,19.8683
15,5,7,17,8,False,False,59392,229376,19.8683
15,5,8,17,9,True,True,60416,233472,13.1851
15,5,8,17,9,True,False,60416,233472,11.5443
15,5,8,17,9,False,True,60416,233472,19.8683
15,5,8,17,9,False,False,60416,233472,19.8683
15,5,9,17,10,True,True,61440,237568,13.1851
15,5,9,17,10,True,False,61440,237568,11.5443
15,5,9,17,10,False,True,61440,237568,19.8683
15,5,9,17,10,False,False,61440,237568,19.8683
15,5,10,17,11,True,True,62464,241664,13.1851
15,5,10,17,11,True,False,62464,241664,11.5443
15,5,10,17,11,False,True,62464,241664,19.8683
15,5,10,17,11,False,False,62464,241664,19.8683
15,6,0,17,1,True,True,26112,100352,8.38989
15,6,0,17,1,True,False,26112,100352,7.30569
15,6,0,17,1,False,True,26112,100352,11.4823
15,6,0,17,1,False,False,26112,100352,11.4823
15,6,1,17,2,True,True,26624,102400,7.87914
15,6,1,17,2,True,False,26624,102400,6.97514
15,6,1,17,2,False,True,26624,102400,11.1459
15,6,1,17,2,False,False,26624,102400,11.1459
15,6,2,17,3,True,True,27136,104448,7.70399
15,6,2,17,3,True,False,27136,104448,6.79999
15,6,2,17,3,False,True,27136,104448,10.9708
15,6,2,17,3,False,False,27136,104448,10.9708
15,6,3,17,4,True,True,27648,106496,7.55399
15,6,3,17,4,True,False,27648,106496,6.64999
15,6,3,17,4,False,True,27648,106496,10.8208
15,6,3,17,4,False,False,27648,106496,10.8208
15,6,4,17,5,True,True,28160,108544,7.55399
15,6,4,17,5,True,False,28160,108544,6.64999
15,6,4,17,5,False,True,28160,108544,10.8208
15,6,4,17,5,False,False,28160,108544,10.8208
15,6,5,17,6,True,True,28672,110592,7.55399
15,6,5,17,6,True,False,28672,110592,6.64999
15,6,5,17,6,False,True,28672,110592,10.8208
15,6,5,17,6,False,False,28672,110592,10.8208
15,6,6,17,7,True,True,29184,112640,7.55399
15,6,6,17,7,True,False,29184,112640,6.64999
15,6,6,17,7,False,True,29184,112640,10.8208
15,6,6,17,7,False,False,29184,112640,10.8208
15,6,7,17,8,True,True,29696,114688,7.55399
15,6,7,17,8,True,False,29696,114688,6.64999
15,6,7,17,8,False,True,29696,114688,10.8208
15,6,7,17,8,False,False,29696,114688,10.8208
15,6,8,17,9,True,True,30208,116736,7.55399
15,6,8,17,9,True,False,30208,116736,6.64999
15,6,8,17,9,False,True,30208,116736,10.8208
15,6,8,17,9,False,False,30208,116736,10.8208
15,6,9,17,10,True,True,30720,118784,7.55399
15,6,9,17,10,True,False,30720,118784,6.64999
15,6,9,17,10,False,True,30720,118784,10.8208
15,6,9,17,10,False,False,30720,118784,10.8208
