C_L1,B_L1,S_L1,C_L2,S_L2,Prefetcher,Stride,Tag Storage L1 (bits),Tag Storage L2 (bits),ATT L1
15,5,0,17,1,True,True,52224,200704,5.56425
15,5,0,17,1,True,False,52224,200704,5.43265
15,5,0,17,1,False,True,52224,200704,5.84305
15,5,0,17,1,False,False,52224,200704,5.84305
15,5,1,17,2,True,True,53248,204800,5.30856
15,5,1,17,2,True,False,53248,204800,5.17616
15,5,1,17,2,False,True,53248,204800,5.58696
15,5,1,17,2,False,False,53248,204800,5.58696
15,5,2,17,3,True,True,54272,208896,5.05729
15,5,2,17,3,True,False,54272,208896,4.92489
15,5,2,17,3,False,True,54272,208896,5.33609
15,5,2,17,3,False,False,54272,208896,5.33609
15,5,3,17,4,True,True,55296,212992,4.90674
15,5,3,17,4,True,False,55296,212992,4.77434
15,5,3,17,4,False,True,55296,212992,5.18554
15,5,3,17,4,False,False,55296,212992,5.18554
15,5,4,17,5,True,True,56320,217088,4.90635
15,5,4,17,5,True,False,56320,217088,4.77395
15,5,4,17,5,False,True,56320,217088,5.18515
15,5,4,17,5,False,False,56320,217088,5.18515
15,5,5,17,6,True,True,57344,221184,4.90608
15,5,5,17,6,True,False,57344,221184,4.77368
15,5,5,17,6,False,True,57344,221184,5.18488
15,5,5,17,6,False,False,57344,221184,5.18488
15,5,6,17,7,True,True,58368,225280,4.90608
15,5,6,17,7,True,False,58368,225280,4.77368
15,5,6,17,7,False,True,58368,225280,5.18488
15,5,6,17,7,False,False,58368,225280,5.18488
15,5,7,17,8,True,True,59392,229376,4.89126
15,5,7,17,8,True,False,59392,229376,4.75886
15,5,7,17,8,False,True,59392,229376,5.17006
15,5,7,17,8,False,False,59392,229376,5.17006
15,5,8,17,9,True,True,60416,233472,3.8013
15,5,8,17,9,True,False,60416,233472,3.6689
15,5,8,17,9,False,True,60416,233472,4.0801
15,5,8,17,9,False,False,60416,233472,4.0801
15,5,9,17,10,True,True,61440,237568,3.8013
15,5,9,17,10,True,False,61440,237568,3.6689
15,5,9,17,10,False,True,61440,237568,4.0801
15,5,9,17,10,False,False,61440,237568,4.0801
15,5,10,17,11,True,True,62464,241664,3.8013
15,5,10,17,11,True,False,62464,241664,3.6689
15,5,10,17,11,False,True,62464,241664,4.0801
15,5,10,17,11,False,False,62464,241664,4.0801
15,6,0,17,1,True,True,26112,100352,5.01896
15,6,0,17,1,True,False,26112,100352,4.95116
15,6,0,17,1,False,True,26112,100352,5.16056
15,6,0,17,1,False,False,26112,100352,5.16056
15,6,1,17,2,True,True,26624,102400,4.76171
15,6,1,17,2,True,False,26624,102400,4.69491
15,6,1,17,2,False,True,26624,102400,4.90411
15,6,1,17,2,False,False,26624,102400,4.90411
15,6,2,17,3,True,True,27136,104448,4.51162
15,6,2,17,3,True,False,27136,104448,4.44382
15,6,2,17,3,False,True,27136,104448,4.65402
15,6,2,17,3,False,False,27136,104448,4.65402
15,6,3,17,4,True,True,27648,106496,4.36125
15,6,3,17,4,True,False,27648,106496,4.29345
15,6,3,17,4,False,True,27648,106496,4.50365
15,6,3,17,4,False,False,27648,106496,4.50365
15,6,4,17,5,True,True,28160,108544,4.36105
15,6,4,17,5,True,False,28160,108544,4.29325
15,6,4,17,5,False,True,28160,108544,4.50345
15,6,4,17,5,False,False,28160,108544,4.50345
15,6,5,17,6,True,True,28672,110592,4.36091
15,6,5,17,6,True,False,28672,110592,4.29311
15,6,5,17,6,False,True,28672,110592,4.50331
15,6,5,17,6,False,False,28672,110592,4.50331
15,6,6,17,7,True,True,29184,112640,4.36091
15,6,6,17,7,True,False,29184,112640,4.29311
15,6,6,17,7,False,True,29184,112640,4.50331
15,6,6,17,7,False,False,29184,112640,4.50331
15,6,7,17,8,True,True,29696,114688,4.34878
15,6,7,17,8,True,False,29696,114688,4.28098
15,6,7,17,8,False,True,29696,114688,4.49118
15,6,7,17,8,False,False,29696,114688,4.49118
15,6,8,17,9,True,True,30208,116736,2.78544
15,6,8,17,9,True,False,30208,116736,2.71764
15,6,8,17,9,False,True,30208,116736,2.92784
15,6,8,17,9,False,False,30208,116736,2.92784
15,6,9,17,10,True,True,30720,118784,2.78544
15,6,9,17,10,True,False,30720,118784,2.71764
15,6,9,17,10,False,True,30720,118784,2.92784
15,6,9,17,10,False,False,30720,118784,2.92784
