C_L1,B_L1,S_L1,C_L2,S_L2,Prefetcher,Stride,Tag Storage L1 (bits),Tag Storage L2 (bits),ATT L1
15,5,0,17,1,True,True,52224,200704,3.05992
15,5,0,17,1,True,False,52224,200704,2.97552
15,5,0,17,1,False,True,52224,200704,3.24132
15,5,0,17,1,False,False,52224,200704,3.24132
15,5,1,17,2,True,True,53248,204800,2.84978
15,5,1,17,2,True,False,53248,204800,2.76418
15,5,1,17,2,False,True,53248,204800,3.03238
15,5,1,17,2,False,False,53248,204800,3.03238
15,5,2,17,3,True,True,54272,208896,2.69655
15,5,2,17,3,True,False,54272,208896,2.61175
15,5,2,17,3,False,True,54272,208896,2.87975
15,5,2,17,3,False,False,54272,208896,2.87975
15,5,3,17,4,True,True,55296,212992,2.54681
15,5,3,17,4,True,False,55296,212992,2.46201
15,5,3,17,4,False,True,55296,212992,2.73021
15,5,3,17,4,False,False,55296,212992,2.73021
15,5,4,17,5,True,True,56320,217088,2.54708
15,5,4,17,5,True,False,56320,217088,2.46228
15,5,4,17,5,False,True,56320,217088,2.73048
15,5,4,17,5,False,False,56320,217088,2.73048
15,5,5,17,6,True,True,57344,221184,2.54722
15,5,5,17,6,True,False,57344,221184,2.46242
15,5,5,17,6,False,True,57344,221184,2.73062
15,5,5,17,6,False,False,57344,221184,2.73062
15,5,6,17,7,True,True,58368,225280,2.54484
15,5,6,17,7,True,False,58368,225280,2.46004
15,5,6,17,7,False,True,58368,225280,2.72824
15,5,6,17,7,False,False,58368,225280,2.72824
15,5,7,17,8,True,True,59392,229376,2.54503
15,5,7,17,8,True,False,59392,229376,2.46023
15,5,7,17,8,False,True,59392,229376,2.72843
15,5,7,17,8,False,False,59392,229376,2.72843
15,5,8,17,9,True,True,60416,233472,2.5408
15,5,8,17,9,True,False,60416,233472,2.456
15,5,8,17,9,False,True,60416,233472,2.7242
15,5,8,17,9,False,False,60416,233472,2.7242
15,5,9,17,10,True,True,61440,237568,2.5408
15,5,9,17,10,True,False,61440,237568,2.456
15,5,9,17,10,False,True,61440,237568,2.7242
15,5,9,17,10,False,False,61440,237568,2.7242
15,5,10,17,11,True,True,62464,241664,2.5408
15,5,10,17,11,True,False,62464,241664,2.456
15,5,10,17,11,False,True,62464,241664,2.7242
15,5,10,17,11,False,False,62464,241664,2.7242
15,6,0,17,1,True,True,26112,100352,2.70955
15,6,0,17,1,True,False,26112,100352,2.67235
15,6,0,17,1,False,True,26112,100352,2.79835
15,6,0,17,1,False,False,26112,100352,2.79835
15,6,1,17,2,True,True,26624,102400,2.48775
15,6,1,17,2,True,False,26624,102400,2.45215
15,6,1,17,2,False,True,26624,102400,2.58035
15,6,1,17,2,False,False,26624,102400,2.58035
15,6,2,17,3,True,True,27136,104448,2.33512
15,6,2,17,3,True,False,27136,104448,2.29932
15,6,2,17,3,False,True,27136,104448,2.42792
15,6,2,17,3,False,False,27136,104448,2.42792
15,6,3,17,4,True,True,27648,106496,2.18511
15,6,3,17,4,True,False,27648,106496,2.14951
15,6,3,17,4,False,True,27648,106496,2.27811
15,6,3,17,4,False,False,27648,106496,2.27811
15,6,4,17,5,True,True,28160,108544,2.18505
15,6,4,17,5,True,False,28160,108544,2.14965
15,6,4,17,5,False,True,28160,108544,2.27805
15,6,4,17,5,False,False,28160,108544,2.27805
15,6,5,17,6,True,True,28672,110592,2.18512
15,6,5,17,6,True,False,28672,110592,2.14972
15,6,5,17,6,False,True,28672,110592,2.27812
15,6,5,17,6,False,False,28672,110592,2.27812
15,6,6,17,7,True,True,29184,112640,2.18359
15,6,6,17,7,True,False,29184,112640,2.14819
15,6,6,17,7,False,True,29184,112640,2.27659
15,6,6,17,7,False,False,29184,112640,2.27659
15,6,7,17,8,True,True,29696,114688,2.18341
15,6,7,17,8,True,False,29696,114688,2.14801
15,6,7,17,8,False,True,29696,114688,2.27641
15,6,7,17,8,False,False,29696,114688,2.27641
15,6,8,17,9,True,True,30208,116736,2.18138
15,6,8,17,9,True,False,30208,116736,2.14598
15,6,8,17,9,False,True,30208,116736,2.27438
15,6,8,17,9,False,False,30208,116736,2.27438
15,6,9,17,10,True,True,30720,118784,2.18138
15,6,9,17,10,True,False,30720,118784,2.14598
15,6,9,17,10,False,True,30720,118784,2.27438
15,6,9,17,10,False,False,30720,118784,2.27438
